title,company,location,minsalary,maxsalary,link
机械工程师,上海兰宝传感科技股份有限公司,上海,15000.0,25000.0,http://jobs.51job.com/shanghai/97990888.html?s=01&t=0
机械工程师,上海金相机械设备有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/95612311.html?s=01&t=0
机械工程师,上海昊明机械有限公司,上海-嘉定区,8000.0,10000.0,http://jobs.51job.com/shanghai-jdq/76403937.html?s=01&t=0
机械工程师,上海金步机械科技发展有限公司,上海-金山区,6000.0,8000.0,http://jobs.51job.com/shanghai-jsq/93318277.html?s=01&t=0
机械工程师,意达纺织机械（中国）有限公司,上海,4500.0,6000.0,http://jobs.51job.com/shanghai/88800263.html?s=01&t=0
机械工程师,上海海珀联动力技术有限公司,上海-松江区,4500.0,8000.0,http://jobs.51job.com/shanghai-sjq/86839964.html?s=01&t=0
机械工程师,上海诚兴机械电子有限公司,上海-奉贤区,4000.0,12000.0,http://jobs.51job.com/shanghai-fxq/85600994.html?s=01&t=0
机械工程师 Mechanical engineer,上海稷以科技有限公司,上海-闵行区,6000.0,10000.0,http://jobs.51job.com/shanghai-mhq/82014963.html?s=01&t=0
机械工程师、燃烧产品研发工程师,上海速焰燃烧设备有限公司,上海-浦东新区,10000.0,15000.0,http://jobs.51job.com/shanghai-pdxq/95834258.html?s=01&t=0
机械工程师,上海佰润诺机械制造工程有限公司,上海-嘉定区,666.67,833.33,http://jobs.51job.com/shanghai-jdq/67406575.html?s=01&t=0
机械工程师,上海光拓自动化设备有限公司,上海-松江区,5000.0,8000.0,http://jobs.51job.com/shanghai-sjq/80951374.html?s=01&t=0
结构工程师/机械工程师/项目工程师（电气公司）,上海贝思特电气有限公司,上海-浦东新区,6000.0,12000.0,http://jobs.51job.com/shanghai-pdxq/66204653.html?s=01&t=0
机械工程师,上海丰愉自动化设备有限公司,上海-宝山区,6000.0,10000.0,http://jobs.51job.com/shanghai-bsq/92222481.html?s=01&t=0
机械工程师（仓储物流方向）,上海巨什机器人科技有限公司,上海-杨浦区,5000.0,15000.0,http://jobs.51job.com/shanghai-ypq/96227643.html?s=01&t=0
产品结构工程师/工业设计师/机械工程师,上海礼朱实业有限公司,上海-普陀区,6000.0,8000.0,http://jobs.51job.com/shanghai-ptq/96338165.html?s=01&t=0
高级机械工程师（航空航天系统仿真）,中仿智能科技（上海）股份有限公司,上海-松江区,15000.0,25000.0,http://jobs.51job.com/shanghai-sjq/97961578.html?s=01&t=0
机械工程师助理,上海质慧新能源科技有限公司,上海-松江区,4500.0,8000.0,http://jobs.51job.com/shanghai-sjq/97962230.html?s=01&t=0
机械工程师/机械设计工程师/机械设计项目经理,上海京灏电子科技有限公司,上海-奉贤区,10000.0,20000.0,http://jobs.51job.com/shanghai-fxq/91273920.html?s=01&t=0
机械工程师,上海科峰合金精密铸造有限公司,上海-青浦区,666.67,833.33,http://jobs.51job.com/shanghai-qpq/85531896.html?s=01&t=0
机械工程师,上海图双精密装备有限公司,上海-浦东新区,6000.0,8000.0,http://jobs.51job.com/shanghai-pdxq/95688106.html?s=01&t=0
机械工程师,上海文依电气股份有限公司,上海-浦东新区,8000.0,12000.0,http://jobs.51job.com/shanghai-pdxq/70492339.html?s=01&t=0
高级机械工程师,上海鸣志电器股份有限公司,上海,10000.0,15000.0,http://jobs.51job.com/shanghai/91038107.html?s=01&t=0
机械工程师,上海岳展精密科技有限公司,上海-松江区,7000.0,15000.0,http://jobs.51job.com/shanghai-sjq/76865026.html?s=01&t=0
机械工程师,上海中集洋山物流装备有限公司,上海-浦东新区,10000.0,15000.0,http://jobs.51job.com/shanghai-pdxq/97969221.html?s=01&t=0
机械设计工程师/机械工程师,上海闳铖自动化技术有限公司,异地招聘,6000.0,10000.0,http://jobs.51job.com/changsha-kfq/97966593.html?s=01&t=0
机械工程师,上海大众祥源动力供应有限公司,上海-嘉定区,708.33,833.33,http://jobs.51job.com/shanghai-jdq/97326740.html?s=01&t=0
高级机械工程师,上海贝电实业（集团）股份有限公司,上海,8000.0,15000.0,http://jobs.51job.com/shanghai/96027878.html?s=01&t=0
机械工程师,上海绎普实业有限公司,上海-松江区,6000.0,8000.0,http://jobs.51job.com/shanghai-sjq/95321419.html?s=01&t=0
机械工程师,机器人在线,上海-嘉定区,6000.0,10000.0,http://jobs.51job.com/shanghai-jdq/93313283.html?s=01&t=0
高级机械工程师,上海秦德物流设备有限公司,上海-闵行区,6000.0,11000.0,http://jobs.51job.com/shanghai-mhq/90230518.html?s=01&t=0
